Date,Sentiment_Score,Label
2024-01-12,0.1048,positive
2024-01-13,0.8016,positive
2024-01-14,0.4091,positive
2024-01-15,0.0355,positive
2024-01-16,0.2362,positive
2024-01-17,0.1337,positive
2024-01-18,0.0236,positive
2024-01-19,0.0,neutral
2024-01-20,0.9064,positive
2024-01-21,0.8964,positive
2024-01-22,-0.8136,negative
2024-01-23,0.3007,positive
2024-01-24,0.6216,positive
2024-01-25,0.7566,positive
2024-01-26,0.9044,positive
2024-01-27,0.543,positive
2024-01-28,0.6836,positive
2024-01-29,0.7926,positive
2024-01-30,0.5486,positive
2024-01-31,0.6625,positive
2024-02-01,0.0,neutral
2024-02-02,0.743,positive
2024-02-03,0.7113,positive
2024-02-04,0.9279,positive
2024-02-05,0.8196,positive
2024-02-06,0.6289,positive
2024-02-07,0.6775,positive
2024-02-08,0.7055,positive
2024-02-09,-0.1699,negative
2024-02-10,0.4662,positive
2024-02-11,0.6922,positive
2024-02-12,0.8265,positive
2024-02-13,0.8514,positive
2024-02-14,0.5079,positive
2024-02-15,0.4434,positive
2024-02-16,0.0,neutral
2024-02-17,-0.6939,negative
2024-02-18,-0.1154,negative
2024-02-19,0.73,positive
2024-02-20,0.601,positive
2024-02-21,0.4628,positive
2024-02-22,0.8488,positive
2024-02-23,0.4512,positive
2024-02-24,0.1375,positive
2024-02-25,0.8916,positive
2024-02-26,-0.6798,negative
2024-02-27,0.4157,positive
2024-02-28,0.7843,positive
2024-02-29,0.416,positive
2024-03-01,0.2135,positive
2024-03-02,0.4775,positive
2024-03-03,0.5108,positive
2024-03-04,0.9875,positive
2024-03-05,0.2207,positive
2024-03-06,-0.0287,negative
2024-03-07,0.7862,positive
2024-03-08,0.2773,positive
2024-03-09,0.3393,positive
2024-03-10,0.5662,positive
2024-03-11,0.6988,positive
2024-03-12,0.1378,positive
2024-03-13,0.5213,positive
2024-03-14,0.2758,positive
2024-03-15,0.3777,positive
2024-03-16,0.928,positive
2024-03-17,-0.0651,negative
2024-03-18,-0.133,negative
2024-03-19,0.2647,positive
2024-03-20,0.3511,positive
2024-03-21,0.8943,positive
2024-03-22,0.5057,positive
2024-03-23,0.8532,positive
2024-03-24,0.0,neutral
2024-03-25,-0.3915,negative
2024-03-26,-0.9065,negative
2024-03-27,0.0022,positive
2024-03-28,0.2795,positive
2024-03-29,-0.2883,negative
2024-03-30,0.4406,positive
2024-03-31,0.8723,positive
2024-04-01,0.1624,positive
2024-04-02,0.7552,positive
2024-04-03,0.8614,positive
2024-04-04,0.7979,positive
2024-04-05,0.4247,positive
2024-04-06,0.9195,positive
2024-04-07,0.3179,positive
2024-04-08,0.1622,positive
2024-04-09,0.672,positive
2024-04-10,0.9084,positive
2024-04-11,0.8834,positive
2024-04-12,0.9221,positive
2024-04-13,0.3773,positive
2024-04-14,0.5283,positive
2024-04-15,-0.1123,negative
2024-04-16,0.7478,positive
2024-04-17,0.2954,positive
2024-04-18,0.836,positive
2024-04-19,0.9423,positive
2024-04-20,0.6106,positive
2024-04-21,-0.8783,negative
2024-04-22,0.3453,positive
2024-04-23,0.3514,positive
2024-04-24,0.8855,positive
2024-04-25,0.0,neutral
2024-04-26,0.5916,positive
2024-04-27,-0.705,negative
2024-04-28,0.0,neutral
2024-04-28,0.0,neutral
2024-04-29,0.7372,positive
2024-04-30,0.8314,positive
2024-05-01,0.4027,positive
2024-05-02,-0.2442,negative
2024-05-03,0.7699,positive
2024-05-04,0.6055,positive
2024-05-05,-0.8495,negative
2024-05-06,0.6301,positive
2024-05-07,0.8586,positive
2024-05-08,0.7891,positive
2024-05-09,0.7569,positive
2024-05-10,0.8747,positive
2024-05-11,0.7606,positive
2024-05-12,0.5179,positive
2024-05-13,0.0,neutral
2024-05-13,0.0,neutral
2024-05-14,0.2053,positive
2024-05-15,-0.1359,negative
2024-05-16,0.8576,positive
2024-05-17,0.2417,positive
2024-05-18,0.2374,positive
2024-05-19,0.0,neutral
2024-05-20,0.5912,positive
2024-05-21,0.844,positive
2024-05-22,0.0343,positive
2024-05-23,0.8245,positive
2024-05-24,0.605,positive
2024-05-25,0.9453,positive
2024-05-26,0.4599,positive
2024-05-27,0.9763,positive
2024-05-28,0.0,neutral
2024-05-29,-0.7087,negative
2024-05-30,0.7329,positive
2024-05-31,0.7945,positive
2024-06-01,0.4014,positive
2024-06-02,0.17,positive
2024-06-03,0.073,positive
2024-06-04,0.5366,positive
2024-06-05,0.6882,positive
2024-06-06,0.9282,positive
2024-06-07,0.0365,positive
2024-06-08,-0.1045,negative
2024-06-09,0.6811,positive
2024-06-10,0.2484,positive
2024-06-11,-0.1423,negative
2024-06-12,0.941,positive
2024-06-13,0.0,neutral
2024-06-14,0.8986,positive
